Date,SPY,TLT,GLD,XLE,EEM
2010-11-17,89.489242553710938,60.620410919189453,130.3800048828125,18.215778350830078,32.308837890625
2010-11-18,90.806404113769531,60.867702484130859,132.08999633789062,18.617288589477539,33.077404022216797
2010-11-19,91.056205749511719,61.241756439208984,132.19999694824219,18.773763656616211,33.098762512207031
2010-11-22,90.980491638183594,61.501712799072266,133.47999572753906,18.714719772338867,32.999130249023438
2010-11-23,89.663368225097656,61.806087493896484,134.41000366210938,18.348630905151367,31.953004837036133
2010-11-24,90.988067626953125,60.702835083007812,134.17999267578125,18.679290771484375,32.693115234375
2010-11-26,89.928321838378906,61.546100616455078,133.11000061035156,18.45490837097168,31.881847381591797
2010-11-29,90.200790405273438,62.072368621826172,133.50999450683594,18.578908920288086,32.13092041015625
2010-11-30,89.69366455078125,62.395759582519531,135.41999816894531,18.513956069946289,31.867609024047852
2010-12-01,91.601219177246094,61.008716583251953,135.3800048828125,19.063085556030273,32.778518676757812
2010-12-02,92.774528503417969,60.849639892578125,135.19999694824219,19.346511840820312,33.426124572753906
2010-12-03,93.024314880371094,60.37249755859375,138.07000732421875,19.432130813598633,33.547103881835938
2010-12-06,92.925918579101562,61.225067138671875,139.11000061035156,19.497077941894531,33.490169525146484
2010-12-07,92.978889465332031,59.914371490478516,136.5,19.423274993896484,33.333606719970703
2010-12-08,93.319534301757812,59.335407257080078,134.78999328613281,19.331752777099609,33.120121002197266
2010-12-09,93.682884216308594,59.628086090087891,135.3699951171875,19.37603759765625,33.006248474121094
2010-12-10,94.2279052734375,59.265407562255859,135.41000366210938,19.455745697021484,33.155693054199219
2010-12-13,94.288467407226562,59.488121032714844,136.05000305175781,19.62108039855957,33.369194030761719
2010-12-14,94.371742248535156,58.62286376953125,136.17999267578125,19.529552459716797,33.419002532958984
2010-12-15,93.94024658203125,57.859352111816406,134.69999694824219,19.423274993896484,32.878166198730469
2010-12-16,94.485282897949219,58.260173797607422,133.80999755859375,19.532512664794922,32.970661163330078
2010-12-17,94.58648681640625,59.322723388671875,134.19999694824219,19.539321899414062,33.020488739013672
2010-12-20,94.814773559570312,59.259109497070312,135.11000061035156,19.666841506958008,32.871021270751953
2010-12-21,95.415916442871094,59.672588348388672,135.32000732421875,19.865522384643555,33.350845336914062
2010-12-22,95.712715148925781,59.246368408203125,135.05000305175781,19.933736801147461,33.465614318847656
2010-12-23,95.575706481933594,59.125473022460938,134.66000366210938,19.990077972412109,33.429752349853516
2010-12-27,95.613761901855469,59.653530120849609,135.02000427246094,19.918907165527344,33.322162628173828
2010-12-28,95.750747680664062,58.485225677490234,137.22000122070312,19.9930419921875,33.350845336914062
2010-12-29,95.819221496582031,59.474761962890625,137.71000671386719,20.19172477722168,33.777828216552734
2010-12-30,95.667015075683594,59.430084228515625,137.02999877929688,20.209526062011719,33.950057983398438
2010-12-31,95.689857482910156,60.087654113769531,138.72000122070312,20.239173889160156,34.186859130859375
2011-01-03,96.679092407226562,59.634395599365234,138,20.390415191650391,34.516971588134766
2011-01-04,96.625839233398438,59.704578399658203,134.75,20.215457916259766,34.674839019775391
2011-01-05,97.128044128417969,58.38946533203125,134.3699951171875,20.295526504516602,34.588726043701172
2011-01-06,96.937835693359375,58.644855499267578,133.83000183105469,20.102766036987305,34.222751617431641
2011-01-07,96.747596740722656,58.957645416259766,133.58000183105469,20.248071670532227,33.906997680664062
2011-01-10,96.625839233398438,59.276889801025391,134.1199951171875,20.168010711669922,33.555374145507812
2011-01-11,96.968276977539062,58.944942474365234,134.91000366210938,20.503091812133789,33.914173126220703
2011-01-12,97.8433837890625,58.485225677490234,135.46000671386719,20.784818649291992,34.595905303955078
2011-01-13,97.683570861816406,59.008773803710938,134.05000305175781,20.725509643554688,34.294513702392578
2011-01-14,98.391265869140625,58.632076263427734,132.69000244140625,20.95088005065918,34.394985198974609
2011-01-18,98.558662414550781,58.357559204101562,133.42999267578125,21.081363677978516,34.344749450683594
2011-01-19,97.592254638671875,58.778919219970703,133.72000122070312,20.826333999633789,34.079238891601562
2011-01-20,97.462921142578125,57.968162536621094,131.19999694824219,20.678062438964844,33.706085205078125
2011-01-21,97.683570861816406,58.427742004394531,131.02999877929688,20.787776947021484,33.354438781738281
2011-01-24,98.239028930664062,58.453311920166016,130.36000061035156,20.86488151550293,33.612785339355469
2011-01-25,98.292343139648438,59.008773803710938,130.10000610351562,20.805576324462891,33.411853790283203
2011-01-26,98.672782897949219,58.114959716796875,131.16000366210938,21.303777694702148,33.706085205078125
2011-01-27,98.916297912597656,58.376682281494141,127.93000030517578,21.179218292236328,33.591255187988281
2011-01-28,97.188934326171875,58.683151245117188,130.27999877929688,21.087285995483398,32.529190063476562
