,realized_return,forecast_var,exception,rolling_exception_rate
2019-06-27,0.0029957004998245104,-0.0084480678377071398,0,0.03968253968253968
2019-06-28,0.0033148922195551933,-0.0084480678377071398,0,0.03968253968253968
2019-07-01,0.0014240726864795778,-0.0084480678377071398,0,0.03968253968253968
2019-07-02,0.0043213274767445742,-0.0084480678377071398,0,0.03968253968253968
2019-07-03,0.0054413188746116666,-0.0084480678377071398,0,0.03968253968253968
2019-07-05,-0.0059946626503176222,-0.0084480678377071398,0,0.03968253968253968
2019-07-08,-0.0032860020726568906,-0.0084480678377071398,0,0.03968253968253968
2019-07-09,0.00070430050954369829,-0.0084480678377071398,0,0.03968253968253968
2019-07-10,0.0050300521815926482,-0.0084480678377071398,0,0.03968253968253968
2019-07-11,-0.0036498493477818807,-0.0084480678377071398,0,0.03968253968253968
2019-07-12,0.0035080636946569822,-0.0084480678377071398,0,0.03968253968253968
2019-07-15,0.0010462704421748347,-0.0084480678377071398,0,0.03968253968253968
2019-07-16,-0.0045084307532765044,-0.0084480678377071398,0,0.03968253968253968
2019-07-17,0.0010052574863612658,-0.0084480678377071398,0,0.03968253968253968
2019-07-18,0.0042240755105139253,-0.0084480678377071398,0,0.03968253968253968
2019-07-19,-0.0050647075648420584,-0.0084480678377071398,0,0.03968253968253968
2019-07-22,0.0019203180257382825,-0.0084480678377071398,0,0.03968253968253968
2019-07-23,0.00103405356257873,-0.0084480678377071398,0,0.03968253968253968
2019-07-24,0.0043189483974189757,-0.0084480678377071398,0,0.03968253968253968
2019-07-25,-0.0061841828609198561,-0.0084480678377071398,0,0.03968253968253968
2019-07-26,0.0032194318344991647,-0.0084480678377071398,0,0.03968253968253968
2019-07-29,-0.00024107817521799036,-0.0084480678377071398,0,0.03968253968253968
2019-07-30,0.0004793402127999609,-0.0084480678377071398,0,0.03968253968253968
2019-07-31,-0.0058804613725059974,-0.0084480678377071398,0,0.03968253968253968
2019-08-01,0.00085720284659017605,-0.0084480678377071398,0,0.03968253968253968
2019-08-02,-0.0036860425842929929,-0.0084480678377071398,0,0.03968253968253968
2019-08-05,-0.012289052882060735,-0.0084480678377071398,1,0.043650793650793648
2019-08-06,0.010141116801125415,-0.0089434372752455055,0,0.043650793650793648
2019-08-07,0.0023067571270429686,-0.0089434372752455055,0,0.043650793650793648
2019-08-08,0.013245106131842843,-0.0089434372752455055,0,0.043650793650793648
2019-08-09,-0.0058431006161864148,-0.0089434372752455055,0,0.043650793650793648
2019-08-12,-0.00059038215483844326,-0.0089434372752455055,0,0.043650793650793648
2019-08-13,0.0066639445759271113,-0.0089434372752455055,0,0.043650793650793648
2019-08-14,-0.011970587439763427,-0.0089434372752455055,1,0.047619047619047616
2019-08-15,0.0048878781338675733,-0.0095215466479267822,0,0.047619047619047616
2019-08-16,0.0056385460518112284,-0.0095215466479267822,0,0.043650793650793648
2019-08-19,0.0021034942342359648,-0.0089434372752455055,0,0.043650793650793648
2019-08-20,5.1187139926411586e-05,-0.0089434372752455055,0,0.043650793650793648
2019-08-21,0.00270844990332082,-0.0089434372752455055,0,0.043650793650793648
2019-08-22,-0.003906056633186866,-0.0089434372752455055,0,0.043650793650793648
2019-08-23,-0.0080667980650030342,-0.0089434372752455055,0,0.043650793650793648
2019-08-26,0.0044002566926673982,-0.0089434372752455055,0,0.043650793650793648
2019-08-27,0.0032739264742504548,-0.0089434372752455055,0,0.043650793650793648
2019-08-28,0.0044281541623566569,-0.0089434372752455055,0,0.043650793650793648
2019-08-29,0.0056680642599706626,-0.0089434372752455055,0,0.043650793650793648
2019-08-30,0.00028226680747477919,-0.0089434372752455055,0,0.043650793650793648
2019-09-03,-0.0010379558365798739,-0.0089434372752455055,0,0.043650793650793648
2019-09-04,0.0089264692190167087,-0.0089434372752455055,0,0.043650793650793648
2019-09-05,-0.00061149512052413504,-0.0089434372752455055,0,0.043650793650793648
2019-09-06,0.0017753407368806204,-0.0089434372752455055,0,0.043650793650793648
2019-09-09,-0.0024860207077754275,-0.0089434372752455055,0,0.043650793650793648
2019-09-10,-0.004507897459215488,-0.0089434372752455055,0,0.043650793650793648
2019-09-11,0.0041085649231522138,-0.0089434372752455055,0,0.043650793650793648
2019-09-12,0.00015260228481983606,-0.0089434372752455055,0,0.043650793650793648
2019-09-13,-0.0054836883959068772,-0.0089434372752455055,0,0.043650793650793648
2019-09-16,0.005777644238982681,-0.0089434372752455055,0,0.043650793650793648
2019-09-17,0.0012720064546609343,-0.0089434372752455055,0,0.043650793650793648
2019-09-18,-0.00053013372539688092,-0.0089434372752455055,0,0.043650793650793648
2019-09-19,0.00066735060248731539,-0.0089434372752455055,0,0.043650793650793648
2019-09-20,0.0033637505968794556,-0.0089434372752455055,0,0.043650793650793648
2019-09-23,0.00082161082017344616,-0.0089434372752455055,0,0.043650793650793648
2019-09-24,-0.0019711752603999823,-0.0089434372752455055,0,0.043650793650793648
2019-09-25,-0.0039796189318524076,-0.0089434372752455055,0,0.043650793650793648
2019-09-26,-0.00059891370835086241,-0.0089434372752455055,0,0.043650793650793648
2019-09-27,-0.0036167755584079198,-0.0089434372752455055,0,0.043650793650793648
2019-09-30,-1.579945043588243e-05,-0.0089434372752455055,0,0.043650793650793648
2019-10-01,-0.006208101385427078,-0.0089434372752455055,0,0.043650793650793648
2019-10-02,-0.0079233762469114732,-0.0089434372752455055,0,0.043650793650793648
2019-10-03,0.0086096570476355654,-0.0089434372752455055,0,0.043650793650793648
2019-10-04,0.0083315061922237255,-0.0089434372752455055,0,0.043650793650793648
2019-10-07,-0.0067957366636566601,-0.0089434372752455055,0,0.043650793650793648
2019-10-08,-0.0066444654589325469,-0.0089434372752455055,0,0.043650793650793648
2019-10-09,0.0042046575655094844,-0.0089434372752455055,0,0.043650793650793648
2019-10-10,-3.5904193580976566e-05,-0.0089434372752455055,0,0.043650793650793648
2019-10-11,0.0031768142430770086,-0.0089434372752455055,0,0.03968253968253968
2019-10-14,0.0014868593736108383,-0.0084480678377071398,0,0.03968253968253968
2019-10-15,0.0011979189805830402,-0.0084480678377071398,0,0.03968253968253968
2019-10-16,-0.00058660499806398878,-0.0084480678377071398,0,0.03968253968253968
2019-10-17,0.0012362011369821957,-0.0084480678377071398,0,0.03968253968253968
2019-10-18,-0.0029555968381571318,-0.0084480678377071398,0,0.03968253968253968
2019-10-21,0.0028091806448072468,-0.0084480678377071398,0,0.03968253968253968
2019-10-22,0.0019578751339612843,-0.0081215833312390951,0,0.03968253968253968
2019-10-23,0.0026251340299824678,-0.0081215833312390951,0,0.03968253968253968
2019-10-24,0.00079735700450938587,-0.0081215833312390951,0,0.03968253968253968
